id,source_entity_id,target_entity_id,type,confidence,timestamp,properties
R000001,P143,P080,MET,0.97,2025-06-17T05:44:21,"{""details"": ""Brief meeting observed"", ""source_type"": ""surveillance"", ""verified"": true}"
R000002,P048,P195,CALLED,0.68,2025-03-17T02:55:26,"{""duration_seconds"": 1423, ""source_type"": ""call_record"", ""verified"": false}"
R000003,P414,P023,MESSAGED,0.73,2026-07-21T19:11:11,"{""message_count"": 32, ""source_type"": ""communication_record""}"
R000004,P499,P473,ASSOCIATED,0.54,2025-10-22T00:23:32,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000005,P151,P425,FAMILY,0.8,2026-05-04T06:41:42,"{""relationship_note"": ""Partner relation recorded"", ""source_type"": ""public_record""}"
R000006,P296,P099,PARTNER,0.53,2026-07-02T06:10:15,"{""relationship_note"": ""Family relation recorded"", ""source_type"": ""public_record""}"
R000007,P396,P149,EMPLOYED_WITH,0.92,2025-03-03T23:25:48,"{""context"": ""Shared employment recorded"", ""source_type"": ""employment_record""}"
R000008,P444,P052,MEMBER_OF,0.64,2025-10-23T06:03:59,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000009,P326,P428,TRAVELED_WITH,0.58,2025-10-11T08:57:53,"{""context"": ""Joint travel recorded"", ""source_type"": ""travel_record""}"
R000010,P182,P108,LOCATED_WITH,0.63,2026-06-05T12:58:14,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000011,P480,P350,SUSPECTED_ASSOCIATE,0.53,2026-05-19T08:15:18,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000012,P326,PH044,OWNS_PHONE,0.86,2026-02-19T21:05:20,"{""registration_status"": ""active"", ""source_type"": ""telecom_registry""}"
R000013,P084,PH119,USED_PHONE,0.63,2025-10-22T17:33:43,"{""observation"": ""Device usage recorded"", ""source_type"": ""telecom_record""}"
R000014,P474,PH164,CALLED,0.77,2026-06-19T12:16:07,"{""duration_seconds"": 2819, ""source_type"": ""call_record"", ""verified"": false}"
R000015,P432,PH197,MESSAGED,0.53,2026-08-26T17:41:12,"{""message_count"": 9, ""source_type"": ""communication_record""}"
R000016,P413,V081,OWNS_VEHICLE,0.63,2025-11-08T14:15:13,"{""registration_status"": ""active"", ""source_type"": ""vehicle_registry""}"
R000017,P109,V146,USED_VEHICLE,0.65,2026-07-12T14:53:31,"{""observation"": ""Vehicle observed in use"", ""source_type"": ""CCTV""}"
R000018,P336,V128,TRAVELED_IN,0.93,2025-11-04T07:06:47,"{""trip_note"": ""Travel recorded together"", ""source_type"": ""field_report""}"
R000019,P330,LOC059,VISITED,0.63,2025-04-21T23:19:10,"{""duration_minutes"": 68, ""source_type"": ""location_record""}"
R000020,P382,LOC072,LOCATED_AT,0.63,2026-02-23T15:15:53,"{""observation_note"": ""Presence recorded at location"", ""source_type"": ""location_record""}"
R000021,P300,LOC055,TRAVELED_TO,0.7,2026-03-30T05:50:31,"{""mode"": ""road"", ""source_type"": ""travel_record""}"
R000022,P071,LOC066,RESIDES_AT,0.54,2026-01-19T07:48:07,"{""since"": ""2025-02-06"", ""source_type"": ""registration_record""}"
R000023,P441,LOC015,WORKS_AT,0.81,2025-04-29T17:10:07,"{""role"": ""Contractor"", ""source_type"": ""employment_record""}"
R000024,P306,ORG009,WORKS_FOR,0.69,2025-10-26T20:34:57,"{""role"": ""Contractor"", ""source_type"": ""employment_record""}"
R000025,P271,ORG033,MEMBER_OF,0.92,2026-03-06T16:52:41,"{""context"": ""Shared membership recorded"", ""source_type"": ""field_report""}"
R000026,P006,ORG088,ASSOCIATED_WITH,0.56,2026-07-14T19:13:42,"{""context"": ""Indirect association noted as an analytical lead, not confirmed activity"", ""source_type"": ""informant_tip"", ""verified"": false}"
R000027,P454,ORG069,VISITED_ORG,0.63,2026-08-07T05:22:36,"{""duration_minutes"": 169, ""source_type"": ""location_record""}"
R000028,P175,ACC029,OWNS_ACCOUNT,0.71,2025-08-16T23:14:20,"{""account_status"": ""active"", ""source_type"": ""financial_registry""}"
R000029,P233,ACC001,TRANSFERRED_TO,0.93,2026-07-15T20:46:17,"{""amount"": 138591, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
R000030,P260,ACC028,RECEIVED_FROM,0.65,2026-05-01T16:26:25,"{""amount"": 335493, ""currency"": ""INR"", ""transaction_type"": ""cash_deposit""}"
