source_id,target_id,rel_type,timestamp,amount
P001,PH001,USES,2026-08-01T11:17:17.586413,0
P001,PH002,USES,2026-08-02T11:17:17.586413,0
P001,V001,OWNS,2026-08-01T11:17:17.586413,0
P001,V002,ASSOCIATED_WITH,2026-08-03T11:17:17.586413,0
P001,LOC001,VISITED,2026-08-04T11:17:17.586413,0
P001,LOC002,VISITED,2026-08-05T11:17:17.586413,0
P001,ORG001,WORKS_FOR,2026-08-01T11:17:17.586413,0
P001,ORG002,ASSOCIATED_WITH,2026-08-02T11:17:17.586413,0
P001,P002,CALLED,2026-08-06T11:17:17.586413,0
P001,P003,CALLED,2026-08-07T11:17:17.586413,0
P001,P005,CALLED,2026-08-08T11:17:17.586413,0
P001,P006,MESSAGED,2026-08-09T11:17:17.586413,0
P001,P007,CALLED,2026-08-10T11:17:17.586413,0
P001,P008,CALLED,2026-08-11T11:17:17.586413,0
P001,P009,MESSAGED,2026-08-12T11:17:17.586413,0
P001,P010,CALLED,2026-08-13T11:17:17.586413,0
P001,P011,TRANSFERRED_TO,2026-08-14T11:17:17.586413,50000
P027,P032,CALLED,2026-08-24T08:18:17.586413,0
P107,P075,MESSAGED,2026-08-20T04:01:17.586413,0
P105,P080,MESSAGED,2026-08-20T00:36:17.586413,0
P008,P007,CALLED,2026-08-02T17:53:17.586413,0
P021,P025,MESSAGED,2026-08-07T21:22:17.586413,0
P031,P033,CALLED,2026-08-18T15:13:17.586413,0
P043,P057,MESSAGED,2026-08-06T01:25:17.586413,0
P077,P078,MESSAGED,2026-08-03T11:55:17.586413,0
P089,P075,MESSAGED,2026-08-05T22:22:17.586413,0
P005,P015,MESSAGED,2026-08-10T11:55:17.586413,0
P087,P105,CALLED,2026-08-21T20:41:17.586413,0
P054,P045,CALLED,2026-08-08T21:26:17.586413,0
P077,P082,MESSAGED,2026-08-02T04:29:17.586413,0
P078,P087,CALLED,2026-08-17T05:29:17.586413,0
P081,P089,MESSAGED,2026-08-05T20:33:17.586413,0
P013,P023,CALLED,2026-08-26T07:43:17.586413,0
P017,P010,MESSAGED,2026-08-22T23:20:17.586413,0
P027,P018,MESSAGED,2026-08-11T06:55:17.586413,0
P079,P105,MESSAGED,2026-08-10T20:43:17.586413,0
P021,P018,MESSAGED,2026-08-11T20:44:17.586413,0
P102,P078,CALLED,2026-08-24T15:10:17.586413,0
P025,P019,CALLED,2026-08-05T10:50:17.586413,0
P103,P079,MESSAGED,2026-08-11T03:57:17.586413,0
P055,P066,CALLED,2026-08-12T22:21:17.586413,0
P090,P091,MESSAGED,2026-08-04T05:14:17.586413,0
P052,P062,CALLED,2026-08-16T08:57:17.586413,0
P078,P084,MESSAGED,2026-08-16T08:53:17.586413,0
P092,P072,MESSAGED,2026-08-10T11:49:17.586413,0
P102,P098,CALLED,2026-08-24T17:05:17.586413,0
P038,P068,CALLED,2026-08-27T17:13:17.586413,0
P031,P013,MESSAGED,2026-08-04T08:56:17.586413,0
P103,P101,CALLED,2026-08-12T05:37:17.586413,0
P074,P109,CALLED,2026-08-16T15:55:17.586413,0
P106,P089,CALLED,2026-08-17T12:02:17.586413,0
P044,P054,MESSAGED,2026-08-14T08:22:17.586413,0
P021,P011,CALLED,2026-08-01T22:03:17.586413,0
P005,P022,MESSAGED,2026-08-28T22:54:17.586413,0
P102,P086,CALLED,2026-08-11T19:01:17.586413,0
P098,P083,CALLED,2026-08-17T18:46:17.586413,0
